Date,Open,High,Low,Close,Adj Close,Volume,Fisher_Transform,Trigger
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.78590393066406,135480400,-1.7384158269113021,-2.4787394929961692
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,73.06857299804688,146322800,-1.7384158269113021,-2.4787394929961692
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.65078735351562,118387200,-3.959386825165904,-2.4787394929961692
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,73.30441284179688,108872000,-4.9420386455761065,-3.0460084332663766
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,74.48359680175781,132079200,-3.833897577760851,-3.0460084332663766
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,76.06568908691406,170108400,-0.36208907646217225,-3.0460084332663766
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,76.23765563964844,140644800,1.1750845658623186,1.6304742296887234
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,77.86643981933594,121532000,1.1750845658623186,1.6304742296887234
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,76.81498718261719,161954400,2.5412535573415322,1.6304742296887234
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,76.48578643798828,121923600,0.07631551334558972,0.9219376929763744
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,77.44388580322266,108829200,-0.7391501197660182,0.9219376929763744
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,78.30126953125,137816400,3.428647685349552,0.9219376929763744
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.77062225341797,110843200,4.025934769174193,3.2061349178543828
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,78.0482406616211,101832400,2.796234992194477,3.2061349178543828
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,78.4240951538086,104472000,2.796234992194477,3.2061349178543828
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,78.19808197021484,146537600,4.639621478332762,4.250495057060314
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.89864349365234,161940000,4.639621478332762,4.250495057060314
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,78.04576110839844,162234000,3.4722422145154193,4.250495057060314
